voter_name,voter_id,voter_url,voter_role,voter_nationality,voter_gender,poll_category,voter_title,film_count,voter_comments
Andrzej Kolodynski,803,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/803,critic,Poland,Male,critics poll,"Editor-in-chief, KINO monthly",10,The reason for choosing these films is simple: they all go beyond conventions and are amazingly inspiring. So they are important to film history.
Baltasar Komákur,894,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/894,Director,Iceland,Male,directors poll,101 Reykjavík; Contraband,10,
Hiroshi Komatsu,542,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/542,academic,Japan,Male,critics poll,"Professor of Film History, Waseda University; recipient of Jean Mitri prize",10,
Andrey Konchalovsky,871,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/871,Director,Russia,Male,directors poll,Romance for Lovers; Runaway Train,10,
Martin Koolhoven,1056,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1056,Director,Netherlands,Male,directors poll,Bonkers; Winter in Wartime,10,"It was very, very hard to narrow it down to a top ten. And the nearer I got, the less exotic the list became. I had to fight my ego; did I want to look original (and put in a poliziesco or a giallo) or was I going to be truthful? In the end my conscience won. Only one really surprising title, I guess. Some will frown at the choice of A Fistful of Dynamite but no matter what people can say against it, I love the film. It speaks to me. I don’t care what the best movies are, I am giving a list of the movies that I love most."
Michael Koresky,306,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/306,critic,US,Male,critics poll,"Staff writer, the Criterion Collection; founding editor, Reverse Shot",10,
Peter Körte,202,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/202,critic,Germany,Male,critics poll,"Film editor and critic, Frankfurter Allgemeine Sonntagszeitung",10,"Needless to say that my list would have looked different last year and might even look different next month. Though I don’t mistake my favourites for the greatest films ever, there’s too big a lack of mandatory criteria as to which films should be in the pantheon to care for that demon called objectivity. So I tried to find a delicate balance betweeen les films de ma vie and films whose merits and achievements in the history of cinema can hardly be denied – with a slight penchant for films with a personal impact."
Peter Kosminsky,1121,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1121,Director,UK,Male,directors poll,Wuthering Heights; White Oleander,10,"The German Sisters, for its brilliant exploration of the nature of German post-Nazi guilt and the choices faced by the radical post-Nazi generation."
Dieter Kosslick,659,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/659,programmer,Germany,Male,critics poll,"Director, Berlin International Film Festival",10,
Richard Koszarski,163,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/163,critic,US,Male,critics poll,"Editor in chief, Film History: An International Journal",10,
Andrew Kötting,869,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/869,Director,UK,Male,directors poll,Gallivant; This Our Still Life,10,"Aguirre for the Great Outdoors, its landscape and its ambition."
Violeta Kovacsics,22,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/22,critic,Spain,Female,critics poll,"Film critic, Caimán Cuadernos de Cine",10,"These are the films and filmmakers that allowed me to consider film history in perspective. With them, I started to dig deeper in the idea of authorship, to understand the history of cinema, to appreciate film genres and to build my own voice and my gaze over film."
Tadeusz Kowalski,69,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/69,archivist,Poland,Male,critics poll,Professor/director National Film Archive (Filmoteka Narodowa),10,"It is very difficult to choose just ten films from the rich history of cinematic art. In my opinion, those selected here represent great artistic value and had a great impact on film history and filmmaking. Most of these films are very well known to the wider public, especially those interested in film history, but one of those chosen is not so – The Hourglass Sanatorium, directed by Jerzy Has and based on the works of Brunon Schultz. It’s a philosophical, mystical and poetic creation from the great artist of the Polish cinema. All these films have had an important impact on my personal view of cinema."
Roger Koza,140,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/140,critic,Argentina,Male,critics poll,"Film critic, La voz del interior; programmer, Ficunam (Mexico)/ Filmtest Hamburg (Germany)",10,
Damjan Kozole,921,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/921,Director,Slovenia,Male,directors poll,Spare Parts; Labour Equals Freedom,10,
Shelly Kraicer,100,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/100,programmer,Canada,Female,critics poll,"Programmer, Vancouver International Film Festival ; Film critic",10,
Jurgis Krasons,1016,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1016,Director,Latvia,Male,directors poll,To Swallow a Toad,10,
Tony Krawitz,1186,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1186,Director,Australia,Male,directors poll,Dead Europe; Jewboy,10,
Klaus Kreimeier,417,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/417,academic,Germany,Male,critics poll,Academic/Historian,10,
Esin Kucuktepepinar,627,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/627,critic,Turkey,Female,critics poll,Film critic; festival programmer,10,"I was on my way to a top 100 instead of ten when I started to list films like Goodbye Dragon Inn, Spirited Away, The Wind Will Carry Us… I was obviously struggling! Then I recalled my beloved mother saying “Cinema offers a bodily experience, loosen up and lose yourself like in the playground.” That was said to a six-year-old me whose basic aim was to enjoy a bottle of soda during the interval (Yes, we still have it in Turkey, except at festival screenings!). So I tried to loosen up, but still regret that I had to leave out La règle du jeu, Metropolis, Belle de Jour, L’Atalante and Turkish contemporaries such as Times and Winds, Clouds of May, Innocence, Somersault in a Coffin or cult clasic Time to Love, and countless more. Still, making this list was a great ride… recalling all those emotions."
Jay Kuehner,496,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/496,critic,US,Male,critics poll,"Seattle writer; critic; consultant, Cinema Scope, Fandor, Senses of Cinema, Northwest Film Forum",10,
Annette Kuhn,795,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/795,academic,UK,Female,critics poll,"Professor
Film Studies, Queen Mary University of London",10,"Choosing ten great films (as opposed to the ten greatest films) does take away a tiny bit of the pressure, and this is what I have done. I resisted the temptation to look at previous top ten lists first, though I did have a reasonable recollection of the kinds of titles that feature on them: a tendency towards auteur films; a prominence of Euro/North American work, of fiction films, feature-length films, ‘serious’ subjects and ‘poetic’ treatments; and of course the enduring prominence of Citizen Kane. I don’t think my list departs greatly from this overall trend, though it does include a couple of examples of types of film that rarely feature. And there are obvious omissions: no musicals or comedies, for example; only one film by a female director; none from parts of the world (India and Latin America, particularly) with longstanding traditions of filmmaking; and from those key decades for experimental filmmaking and popular cinemagoing, the 1930s and 1940s, just one documentary short.
Several of my chosen titles are ones that sprang to mind right away. Others, after some thought and sifting, emerged as key exemplars in critical categories like national cinema, genre, period or auteur. I avoided including personal favourites solely because I love them (ie there had to be other reasons for inclusion), and have not ruled out any film merely because I dislike it. Since, it seems to me, the jury is still out on more recent work, my final list of ten is — a little conservatively, perhaps – confined to films made before 1980. It’s too soon to tell, of course, but a listing of the greatest films made since that date would likely, given the increased visibility of world cinema, feature a greater proportion of non-western titles. My own (provisional) choice might include, say: Yellow Earth (China, 1984), Distant Voices, Still Lives (UK, 1988), Beau Travail (France, 1998), Caché/Hidden (France, 2005), Syndromes and a Century (Thailand, 2006), and A Separation (Iran, 2011).
There are a number of directors whose body of work, taken as a whole, surely qualifies them as being among cinema’s greatest auteurs (Hitchcock, Eisenstein, Ray, Bergman and Bresson, for example), but for whom I’d feel hard pressed to pick out individual films to put on the list. Many think that Hitchcock’s Vertigo is his best, but forced to choose, I would probably go for Rear Window. Ray’s best, in my view, is possibly Charulata, though Pather Panchali has a strong claim. Bergman’s oeuvre is so extensive that it is near impossible to fix on one film – I would (hesitantly) put forward Fanny and Alexander. For different reasons, Eisenstein is equally tricky: Ivan the Terrible, perhaps? Bresson’s films convey a distinctive and inspiring cinematic vision, but again it seems impossible to choose any one title over others. Ozu, I would maintain, transcends authorship: like many westerners, I discovered his work through the subtle and intensely moving Tokyo Story, only much later getting to know his other films (Late Spring particularly impresses). In fact, Tokyo Story was one of my immediate choices.
The 1920s surely produced some of the very greatest films ever, with the late silent cinemas of Scandinavia and Germany excelling. Metropolis, for example, could qualify on the grounds of its influence on subsequent world cinema. But, as cinema, a worthier inclusion, I believe, is The Last Laugh, and accordingly this film appears on my list.
As with directors, so with significant film movements: among the European ones, my vote goes with the Nouvelle Vague, and with Les quatre cents coups as its greatest representative. Outside Europe, New Hollywood must figure as well, represented by either The Conversation or Raging Bull, I think, with the former nosing slightly ahead.
If only to make a claim for the potential greatness of fiction films that aim for lightness and entertainment, I intended to include a comedy or a musical among my ten. However, the final cut came down to a tough choice between the incomparable Some Like It Hot and Jeanne Dielman, an altogether different sort of film, but an essential inclusion for its aesthetically and politically groundbreaking qualities. The only Hollywood genre film in my final ten (and another of those on my immediate list) is The Searchers, a Western that, for all its flaws, exemplifies, embraces and above all transcends its genre, a rare piece of cinema that arguably merits a place in the wider pantheon of American art.
Documentary and experimental films are often overlooked in greatest films polls, and I want to put in a strong claim on behalf of a bold, exciting and dazzling piece of experiment that embodies both: Man with a Movie Camera, another of my immediate choices. The poetic documentary Listen to Britain is one of two personal favourites that I include among my ten greatest; the other being the ever-astonishing avant-garde piece Wavelength (preferably on 16mm).
And last, The Leopard is included because it is a towering, magnificent, wonderful aesthetic and political achievement"
Richard Kuipers,162,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/162,critic,Australia,Male,critics poll,"Critic, Variety; programmer, Sydney International Film Festival",10,
Justin Kurzel,1017,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1017,Director,Australia,Male,directors poll,Snowtown; Blue Tongue,10,"Jaws is still the reason I rarely go swimming. It put the absolute fear in me, especially living in Australia. I must have seen this 100 times, but I will always stop and watch it when it’s on. It’s a master lesson in how to create suspense on screen, even with a robotic shark."
Maria Kuvshinova,355,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/355,critic,Russia,Female,critics poll,Film critic,10,"In the digital universe there is no such thing as new movie. All of them exist at the same time, the ones made 100 years ago and the ones released last week. So I’ve tried to be honest to myself and named the films (old and new) I love, watch and consider as a justification of cinema itself."
Stanley Kwan,1175,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1175,Director,Hong Kong,Male,directors poll,Rouge; Actress,10,
Richard Kwietniowski,1144,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1144,Director,UK,Male,directors poll,Love And Death on Long Island; Owning Mahowny,10,
Bruce LaBruce,903,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/903,Director,Canada,Male,directors poll,"The Raspberry Reich; Otto, or, Up with Dead People",10,"Since it’s obviously ridiculous to attempt to choose definitively the ten best films of all time, I’ve picked the ten films that have either most influenced me personally, or which I think have influenced generations of filmmakers."
Isaki Lacuesta,977,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/977,Director,Spain,Male,directors poll,The Condemned; The Double Steps ,10,"To make lists is an exciting and very silly task. So, it's necessary to write the list very fast, without thinking, like a sort of Russian roulette. If not, you would feel too ridiculous excluding Hitchcock, Welles, Ozu, Bergman, Coppola, Ford, Eustache, Monty Python, Barnet, Godard, Varda, Peckinpah, Jarmusch, Dreyer, Casavettes, Vigo, Rossellini, Wong, Berlanga, Pelechian and hundreds of others. Tomorrow the list would be absolutely different."
Andrew Lampert,810,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/810,archivist,US,Male,critics poll,"Curator, Collections/Anthology film archives; filmmaker",10,"Feel free to laugh. In no way do I expect you to accept this canonical compendium at face value. My list was not made solely to champion the little guy or to represent the ‘other’. It’s more a record of past experience and current feelings rather than an objective attempt to stratify history. If you tell me that one of these films is playing, chances are I’ll be there. Without a doubt I will emphatically insist that you must go. A few of my picks are shorts, and one title (NYC Street Scenes) is raw footage from a newsreel. Feature length is in large part a ruse: a film is over when it is finished, whether counted in seconds or hours. The classics endure (Touch of Evil being far better than Citizen Kane) and will out rule my selections, which is OK. I don’t necessarily suggest that my choices are better, but for me, writing today, they are the best."
Nadav Lapid,1085,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1085,Director,Israel,Male,directors poll,Emile's Girlfriend; Policeman,10,"After hesitating and considering all sort of criteria and systems of selection, I've decided to follow the simplest idea of composing a list of my ten cinematic loves (giving up, of course, many others). Unnecessary to repeat how difficult it is to chose only ten films and how impossible it is to compare some of these extremely different films. I might say that it was important for me to include some new and recent films, because these lists tend naturally towards the old films, the classical ones, while for me cinema should not be classical but in constant movement, always doubting its own values and neglecting its own hierarchies. However, even this one criteria of selection didn’t demand any real efforts. The recent films I've selected were, to my eyes, so charismatic and so convincing."
Fernando Lara,612,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/612,critic,Spain,Male,critics poll,"Journalist and film critic; former director of Seminci (Valladolid International Film Festival); former director, ICAA (Spanish Institute of Cinema)",10,
Pablo Larraín,1102,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1102,Director,Chile,Male,directors poll,Tony Manero; Post Mortem,10,
Joe Lawlor,997,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/997,Director,UK,Male,directors poll,Helen; Leisure Centre,10,
Ray Lawrence,1139,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1139,Director,Australia,Male,directors poll,Lantana; Jindabyne,10,
Edward Lawrenson,643,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/643,critic,UK,Male,critics poll,"Critic; programmer, BFI London Film Festival",10,
Sylvia Lawson,72,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/72,critic,Australia,Female,critics poll,Critic; author,10,"This list is shadowed by many other possible lists. In general it is director-centred, and it has involved near-impossible choices, forced by the limit of ten. If the list could be longer it would take in work by, for example, Grigori Kozintsev, Andrei Tarkovsky, Roberto Rossellini, Akira Kurosawa, Satyajit Ray, R.W. Fassbinder, Pedro Almodóvar, Wong Kar-wai, Chen Kaige, Raoul Ruiz and Patricio Guzman. Perhaps in 2022, you might allow your critics a list of (say) 30?
If there is any principle linking the titles, it is that each of them exercises the widest-ranging attention to complexity of story, character, politics and ethics, and each attains its ends through an orchestration of sound and image, narrative, performance, and argument either explicit or implied. The choices also seek to extend the conventional range, choosing Le Crime de M. Lange from Renoir’s work instead of La règle du jeu, Rear Window from Hitchcock’s rather than Vertigo, The Last Bolshevik from Marker rather than Sans Soleil, Liberty Valance from Ford rather than The Searchers. There is no way, in any of those cases, that I could argue that the films chosen are superior to those I have omitted.
My greatest regrets relate to film essays and documentary. Reluctantly, I left out Resnais’ Nuit et Brouillard in favour of longer (not larger) works; there was no room for Humphrey Jennings’ Fires Were Started, none for Guzman’s Nostalgia for the Light. I suggest that after the work of Chris Marker, the distinction between feature and documentary is simply out of date, while the category of the film essay has gained increasing critical prominence."
Isild Le Besco,979,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/979,Director,France,Female,directors poll,"
Bas-fonds; Demi-tarif ",10,
Malcolm Le Grice,1043,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1043,Director,UK,Male,directors poll,Castle 1; Berlin Horse,10,"Four hours or so, The Art of Vision is the first great innovation in the form of the personal – first-person – subjective cinema. In art history it belongs with Jackson Pollock and the American Abstract Expressionists – though the art establishment has still not caught up with this."
Eric Le Roy,630,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/630,archivist,France,Male,critics poll,"Chef du service Accès, valorisation et enrichissement des collections, Président de la FIAF, Archives françaises du film-CNC",10,
Kevin B Lee,427,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/427,critic,US,Male,critics poll,"Editor in chief, Indiewire Press Play; Video essayist, Fandor Keyframe",10,"With regrets to The Third Man (Reed), Platform (Jia), The Mad Songs of Fernanda Hussein (Gianvito), Street Angel (Yuan), Ordet (Dreyer), Playtime (Tati), Rose Hobart (Cornell), The Inextinguishable Fire (Farocki) and everything by Ozu and Bresson"
Nathan Lee,264,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/264,critic,US,Male,critics poll,"Contributing editor, Film Comment",10,
Danny Leigh,694,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/694,critic,UK,Male,critics poll,Novelist; broadcaster,10,
Mike Leigh,1075,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1075,Director,UK,Male,directors poll,Naked; Secrets and Lies,10,
José Luis Torres Leiva,1006,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1006,Director,Chile,Male,directors poll,"The Sky, the Earth and the Rain; Summer",10,
David Leland,926,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/926,Director,UK,Male,directors poll,Wish You Were Here; Virgin Territory,10,I opted to choose films that made a great impact on me at the time I first saw them and have continued to have an impact on me ever since when I've chanced to see them again. They are also films I'd drag people to see if they’ve had the misfortune never to have seen them.
Isaac León Frías,526,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/526,critic,Peru,Male,critics poll,"Film critic; professor, History of Film, Film Language",10,
Pierre Leon,1131,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1131,Director,France,Male,directors poll,L'idiot; Octobre,10,"Impossible to answer an impossible question. A compromise is thus called for, so that “the impossible becomes possible”, to quote a line by the Russian poet Alexander Blok. So I’ve looked for a filmmaker who would contain, rather than eliminate, all the others. Or, to put it another way, one who represents all of cinema. In the ten films by Dreyer that make up my list almost all the great films of all time can be found. Michael connects very well to Guitry or Fassbinder, Dies Irae to Bresson, Les Fiancés de Glomdalsbruden to Sirk, Griffith or Barnet, Gertrud to Ford or Walsh, Prastankan to Lubitsch or Resnais, Ordet to Ermler or Rohmer, Tva Manniskor to Hitchcock, Naruse, Tullio, Ophuls or Bergman. Etc. What’s more, Dreyer made his films in Denmark, but also in Sweden, France, Norway, Germany, so does not belong to a ‘national’ cinema."
Nanouk Leopold,1088,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1088,Director,Netherlands,Female,directors poll,les flottantes (Floating Islands); Guernsey,10,
Joachim Lepastier,483,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/483,critic,France,Male,critics poll,"Critic, Cahiers du Cinéma",10,
Diego Lerer,660,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/660,critic,Argentina,Male,critics poll,"Editor and film critic, Clarín",10,
Matthias Lerf,320,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/320,critic,Switzerland,Male,critics poll,Film editor SonntagsZeitung,10,
Esther Leslie,626,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/626,academic,UK,Female,critics poll,"Professor, Political Aesthetics",10,
Richard Lester,1145,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1145,Director,US/UK,Male,directors poll,A Hard Day's Night; Superman II,10,
Jørgen Leth,1004,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1004,Director,Denmark,Male,directors poll,A Sunday in Hell; The Perfect Human ,10,"I could have chosen the classics which to me are the absolute best in film history. But I would like to add some spice and films that meant something for me personally. I chose to include a few films which for me represent audacity and experiment, and a nod to documentary."
Mariann Lewinsky,352,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/352,programmer,Switz/Italy,Female,critics poll,"Film historian, curator and festival programmer",10,
Matthew Leyland,323,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/323,critic,UK,Male,critics poll,"Reviews editor, Total Film",10,
Ying Liang,1201,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1201,Director,China,Male,directors poll,Taking Father Home; The Other Half,10,
Dennis Lim,664,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/664,critic,US,Male,critics poll,"Programmer, New York Film Festival; editorial director, Museum of the Moving Image; former film editor, Village Voice",10,
Helena Lindblad,546,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/546,critic,Sweden,Female,critics poll,"Editor and chief film critic, Dagens Nyheter / Kulturredaktionen (Arts Supplement)",10,
Dana Linssen,698,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/698,critic,Netherlands,Female,critics poll,"Editor-in-chief, de Filmkrant; film critic, NRC Handelsblad",10,"I am not a list person. They drift with the clouds. The top three, however, has been unchanged for years. And of these three, I could even narrow it down to particular ‘great’ scenes: in the first, the famous singing and dancing in the rain; in the second, the opening sequence with the English voiceover, but with the original French Racine quote: “The distance between countries compensates somewhat for the excessive closeness of time” (although I love the Eliot one too); in the third, the final pandemonium that spells/says/sings: ‘All You Need is Love’. These scenes made me love cinema. In all, it’s about the magic, discomfort and capacity to see beyond the image.
The other films all blew my mind at some point, probably for the same reasons. But I cannot exactly say why – that is why I keep returning to them. In general that is my only criteria in compiling lists and ‘rating’ films: which ones would I like to see again, here and now. It happens rather intuitively. But I have to bow my head in humility for not being able to include John Smith’s The Girl Chewing Gum, Abbas Kiarostami’s The Wind Will Carry Us, Tsai Ming-liangs What Time is it There? and Abderrahmane Sisako’s Bamako or Agnès Varda’s Les plages d’Agnès. And others. Oh well."
Michel Lipkes,295,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/295,programmer,Mexico,Male,critics poll,"Head, Mexico City Cinematheque; former programmer, Guadalajara International Film Festival",10,"Sunrise is a pioneer’s pure and powerful gesture of cinematographic sorcery.
Gertrud a stream of poetic hipnosis, and includes one of the best performances in the history of cinema by Nina Pens Rode.
Barry Lyndon features Victorian aristocratic alienation at its maximum Kubrickian power.
Stalker is a genius melancholy utopist’s filmic fever-dream come true.
To Our Loves is a masterpiece of broken families and naturalist visceralism.
L’argent employs Bressonean systematisation and rhythm to the most sublime results.
Elephant is anti-narrative cinema at its best, absolut síntesis on humans’ alienation from violence.
The Seventh Continent by Michael Haneke is a landmark gem of modern European life and tragedy.
Gummo is a deeply surreal American apocalypse turned into an anarchic cinematographic poem.
Colossal Youth – Ossos + In Vanda’s room = Juventude em marcha (digital narrative revolution)."
Ross Lipman,134,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/134,archivist,US,Male,critics poll,Film restorationist,10,"The chosen films are sections of a stream in motion, yet each contains the whole of the stream. I’ve tried to sift works across time, regions and forms, but primarily feel my failure to do so."
Kjetil Lismoen,418,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/418,critic,Norway,Male,critics poll,"Editor, Rushprint; critic, Aftenposten",10,"This is of course an impossible task. I’ve tried to balance certain concerns – the films’ place in film history and so on – but had in the end to give into my own, very personal preferences. Why films make such an impact on us and stay with us is a complex and often mysterious process."
Guy Lodge,554,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/554,critic,UK/South Africa,Male,critics poll,"Freelance critic; screenwriter, Variety",10,"
Just this morning I was amused by a reader’s punctuation-challenged comment after a film review: “If critics cant give objective reviews what is the point?”
I imagine anyone who presumes subjectivity has no place in film criticism would feel more entitled to name The Ten Greatest Films Of All Time than I do. All I can offer is ten films that, on first acquaintance, showed me something in the medium I hadn’t seen before – and that continue to surprise and excite upon multiple revisits.
Whittling the list down to its present form was troubling enough; ranking them any further proved impossible. I’ve long said that Gone With the Wind, an unmatched feat of sustained storytelling, is my favourite film, though it probably has the least claim to singularly astonishing filmmaking of any title on this list. How could one rank it above or below the immaculate likes of Persona and Vertigo, an oddly ideal double-bill I arrived at only after agonising consideration of both directors’ filmographies? How can one compare the jangly candour of Truffaut’s child’s-eye view with the hushed spirituality of Erice’s? And how can one pit either of these finely tuned, eternally expanding miniatures against the novelistic bustle of Allen’s finest hour, or the gasping sensual explosion of Powell and Pressburger at their most romantic? Is it too soon to include White Material, a film whose tingly, tactile construction stunned me as much as its politics reached unnervingly into my own African childhood? Possibly, but after a handful of canon titles reached stalemate for the final spot, I reached for Claire Denis’ film as an investment pick of sorts: if I had no belief in contemporary cinema’s ability to produce films to last, I’d find another line of work."
Tiina Lokk,55,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/55,programmer,Estonia,Female,critics poll,"Director, Tallinn Black Nights Film Festival",10,"Citizen Kane has a revolutionary good script and camera work – I am not speaking of its direction. Definitely the strongest debut of all the time.
There isn’t nothing bigger and better than Battleship Potemkin when it comes to editing. The whole basic theory of editing is contained within this film. Potemkin is the beginning of the beginners. 
Andrei Rublev is a strongest story about the artist – the suffering of the creator and creation. Tarkovski made the individual story of Rubljov much bigger then it was in reality until finally it is like a symbol, an archetype of the artist and his relationships with power and absolutist authority. I also like the visual language of the film. The scene with bells is one of the greatest in history of the cinema.
Zero de Conduite displays an amazing sensuousness of image. Amarcord is a hearty, dreamlike insight in flashback. Pulp Fiction is built from fantastic combinations of Godar and Hawks, and symbols of satirical violence. In The Taste of Cherry, Kirostami proves himself to be the master of the philosophy of the simple life, and I am bonded to his masterly humanism and bewitched by his visual world. Yi Yi is a sensitive movie, very beautifully shot, well acted, human and emotional, and with balanced humour. But sadness is absorbing...
It’s useless to try to say something with two words about Four Seasons…  but if so, it must be about it’s concentration of philosophy and poetry.
Finally, One Flew Over the Cuckoo’s Nest, which had a big personal impact on me when it came out. The film has a strong message to everyone who, after the events in Prague in 1968, should have to stayed on the other side of Iron Curtain. Well directed and well acted. Jack Nicholson is great!"
Manuel J Lombardo,367,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/367,critic,Spain,Male,critics poll,Film critic at Diario de Sevilla – Grupo Joly / Film professor at Universidad de Sevilla,10,"This list is something close to what I consider to be a personal film canon, an impossible mixture of subjective, historical and critical approaches to cinema assessed in terms of emotional, rational and aesthetical pleasure, decade by decade, along with my own changing perspectives on the subjects, films and directors. It is obvious to point out that 100 different lists could have been made for the same exact reasons. This is the least painful one for the moment."
Long Tin Shum,386,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/386,critic,Hong Kong,Male,critics poll,Film critic,10,"Alain Resnais’ Last Year in Marrienbad is a full exploration of the meaning of narrative truth in cinema. The audience will always be absorbed in the labyrinth of desire and signs and never want to come out.
Is the fate of the one who can never enter the Room but must always be guide for others the destiny of a humble artist? Stalker is so tender, so moving and so poetic.
Breathless has an excellent mise en scène and explores how narration merges with meta-film reflections.
The Innocent shows the power of elegent indulence as aesthetics of cinema. 
Blow-Up is another reflection on reality and the intolerance of art, and is so rich in visual layers.
Federico Fellini, La Dolce Vita suceeded in bringing out the notion of the dialectic bittersweet relationship. It’s also a strong criticism of capitalist city lives.
Ashes of Time is a deep and double-edged discourse on love, refined with classic dialogue.
Aguirre, Wrath of God reminds us the absurdity of life and the arrogance of human beings – the images of vanity; the sighs of actuality.
That Obscure Object of Desire is the perfect exhibition of the structure of desire, and is powerfully imagined.
The Rules of Game may be the greatest film in history.
"
Carolina López Caballero,740,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/740,programmer,Spain,Female,critics poll,"Film curator and director, Xcèntric (the cinema of the Center of Contemporary Culture of Barcelona); director, Animac (the international show of animation of Catalonia)",10,"Choosing from the greatest movies ever, I’ve picked those that were important to me, that made an impact in the way that I understand and want to experience film. I believe that they’re all important to the medium, anyway. I’m more interested in film as an experience – dreamlike and even on non-verbal film, far from the novelistic structure pursued by most of the features. Film as magic, fabulous the way Mèliés evisioned it, a world where animators and experimental filmmakers find a perfect ground for creation."
